city_ascii,lat,lng,country,capital,population
Inkhil,33.0181,36.1283,Syria,,31258
Terre Neuve,19.6,-72.7833,Haiti,,31252
Kreuztal,50.9667,7.9667,Germany,,31251
Sterling,39.0052,-77.405,United States,,31251
Parnarama,-5.6819,-43.0928,Brazil,minor,31250
Naspur,18.8604,79.4849,India,,31244
Mamaroneck,40.9443,-73.7488,United States,,31244
Carangola,-20.7328,-42.0289,Brazil,minor,31240
Unchagao,16.6988,74.2749,India,,31238
Holladay,40.66,-111.8226,United States,,31236
Vigneux-sur-Seine,48.7001,2.417,France,,31233
Capelinha,-17.6908,-42.5158,Brazil,minor,31231
Esperanca,-7.0333,-35.85,Brazil,minor,31231
Barrinha,-21.1936,-48.1639,Brazil,minor,31230
Andirin,37.5764,36.3506,Turkey,minor,31224
Changuinola,9.4333,-82.5167,Panama,minor,31223
Valkenswaard,51.35,5.4592,Netherlands,minor,31221
Rosmalen,51.7167,5.3667,Netherlands,,31219
Cicero,43.1662,-76.0662,United States,,31218
Pocone,-16.2569,-56.6228,Brazil,minor,31217
Itaperucu,-25.2212,-49.3458,Brazil,minor,31217
New Smyrna Beach,29.0249,-80.9652,United States,,31212
Bittou,11.2575,-0.3039,Burkina Faso,,31210
Alba,44.6915,8.0256,Italy,,31210
Tacuba,13.9,-89.9333,El Salvador,,31209
Pontypridd,51.602,-3.342,United Kingdom,,31206
Kadinhani,38.2397,32.2114,Turkey,minor,31206
Dreux,48.7372,1.3664,France,minor,31205
Duanshan,25.7943,106.6983,China,,31203
Santa Paula,34.3545,-119.0656,United States,,31202
Usinsk,66,57.5333,Russia,minor,31200
Gevelsberg,51.3167,7.3333,Germany,,31198
Yahsihan,39.8503,33.4536,Turkey,minor,31195
Lobos,-35.1833,-59.0833,Argentina,minor,31190
Rutherglen,55.828,-4.214,United Kingdom,,31190
Dyurtyuli,55.4833,54.8667,Russia,minor,31185
Sakaraha,-22.9075,44.5303,Madagascar,,31183
Paracelis,17.1811,121.4036,Philippines,,31168
Tewksbury,42.612,-71.2278,United States,,31168
Saint Neots,52.228,-0.27,United Kingdom,,31165
Siraway,7.5853,122.1406,Philippines,,31163
Port Chester,41.0051,-73.668,United States,,31162
Khanah Sur,36.4778,41.6114,Iraq,,31161
Buenavista,13.7394,122.4675,Philippines,,31160
Haines City,28.1102,-81.6157,United States,,31156
Podili,15.604,79.608,India,,31145
Yaita,36.8067,139.9241,Japan,,31145
SeaTac,47.4444,-122.2986,United States,,31143
Tongeren,50.7807,5.4623,Belgium,minor,31142
Gata,7.85,124.35,Philippines,,31141
Ambatomiady,-19.6939,47.4143,Madagascar,,31140
Beizhuang,39.9686,119.5515,China,,31139
Sovetskiy,61.3614,63.5842,Russia,minor,31138
Shrigonda,18.616,74.698,India,,31134
Fomento,22.1053,-79.7203,Cuba,minor,31131
Friedberg,50.3333,8.75,Germany,minor,31131
Goiatuba,-18.0128,-49.3569,Brazil,minor,31130
Livingston,40.7855,-74.3291,United States,,31128
Ecclesfield,53.4429,-1.4698,United Kingdom,,31125
Ngudu,-2.9667,33.3333,Tanzania,,31123
Kalliyassheri,11.9712,75.3616,India,,31122
Rosa Zarate,0.33,-79.48,Ecuador,minor,31120
Socorro,6.5333,-73.2,Colombia,minor,31115
Tequila,20.8828,-103.8367,Mexico,minor,31115
Lawndale,33.8884,-118.3531,United States,,31113
Viry-Chatillon,48.6713,2.375,France,,31112
Yingyangcun,22.0974,106.7567,China,,31109
Amargosa,-13.03,-39.605,Brazil,minor,31108
Chatellerault,46.8178,0.5461,France,minor,31105
Bembereke,10.225,2.6681,Benin,,31101
Bachhraon,28.93,78.22,India,,31101
Sakhnin,32.8667,35.3,Israel,,31100
Tancitaro,19.3378,-102.3625,Mexico,,31100
Danghara,38.0983,69.3467,Tajikistan,minor,31100
Rheinberg,51.5467,6.6006,Germany,,31096
Sabana Grande de Boya,18.95,-69.8,Dominican Republic,,31096
Coria del Rio,37.2833,-6.05,Spain,,31095
Montebelluna,45.7753,12.0389,Italy,,31095
Centre Wellington,43.7,-80.3667,Canada,,31093
Vibo Valentia,38.6753,16.0959,Italy,minor,31092
Sasaguri,33.6239,130.5261,Japan,,31092
Bedworth,52.4791,-1.4712,United Kingdom,,31090
Huangxicun,24.4672,115.7773,China,,31087
Tangua,-22.73,-42.7139,Brazil,minor,31086
Culleredo,43.2883,-8.3894,Spain,,31085
San Juan Ixcoy,15.6,-91.45,Guatemala,minor,31081
Atotonilco de Tula,20.05,-99.1833,Mexico,,31078
Nantan,35.1,135.4667,Japan,,31075
Weil am Rhein,47.5947,7.6108,Germany,,31065
Alamogordo,32.8837,-105.9625,United States,,31063
Cambita Garabitos,18.45,-70.2,Dominican Republic,,31057
Manaratsandry,-16.188,46.5078,Madagascar,,31056
Malaikkal,8.8058,76.8301,India,,31050
Lagos,37.1,-8.6667,Portugal,minor,31049
Pompeu,-19.2239,-44.935,Brazil,minor,31047
Arcos de la Frontera,36.75,-5.8,Spain,,31046
Petrosani,45.4122,23.3733,Romania,,31044
Southlake,32.9545,-97.1503,United States,,31044
Tairan Camp,6.65,121.87,Philippines,,31040
Tummapala,17.7166,82.9965,India,,31035
Mushabani,22.52,86.45,India,,31035
Pushangcun,36.347,115.0703,China,,31033
Chantal,18.2017,-73.8896,Haiti,,31030
Espinho,41.01,-8.64,Portugal,minor,31027
Karera,25.4581,78.1358,India,,31026
West Warwick,41.6986,-71.5157,United States,,31025
North Andover,42.6713,-71.0865,United States,,31024
Dover,51.1295,1.3089,United Kingdom,,31022
Chuhuiv,49.8356,36.6864,Ukraine,minor,31018
North Royalton,41.3138,-81.745,United States,,31013
Hopkinsville,36.8381,-87.4775,United States,,31011
Voorhees,39.845,-74.9549,United States,,31011
Malakanagiri,18.35,81.9,India,,31007
Konseguela,12.4094,-5.8767,Mali,,31007
Rodolfo Sanchez Taboada,31.7958,-116.5911,Mexico,,31006
Sao Jose do Egito,-7.4733,-37.2744,Brazil,minor,31004
Dashao,39.5517,115.8206,China,,31000
Vohitrandriana,-20.7601,48.2652,Madagascar,,31000
Andranovory,-23.1431,44.152,Madagascar,,31000
Wobulenzi,0.72,32.53,Uganda,,31000
San Vicente,9.9636,-84.0454,Costa Rica,,30998
Sagwara,23.6681,74.0244,India,,30993
Northport,33.2586,-87.5993,United States,,30991
Iguape,-24.7081,-47.5553,Brazil,minor,30989
Diffa,13.3171,12.6089,Niger,admin,30988
Arraial do Cabo,-22.9658,-42.0278,Brazil,minor,30986
Pisek,49.3089,14.1475,Czechia,,30986
Santa Vitoria do Palmar,-33.5189,-53.3678,Brazil,,30983
Ban Chang,12.7208,101.0669,Thailand,minor,30983
Gimbi,9.1667,35.8333,Ethiopia,,30981
Ban Ang Sila,13.3364,100.9278,Thailand,,30981
Thal,33.3644,70.5478,Pakistan,,30977
Lucera,41.5,15.3333,Italy,,30975
Yaese,26.1581,127.7186,Japan,,30974
Can,40.0275,27.0475,Turkey,minor,30970
La Paz,8.28,125.81,Philippines,,30969
Begles,44.8086,-0.5478,France,,30968
Irituia,-1.7689,-47.4389,Brazil,minor,30955
Goussainville,49.0325,2.4747,France,,30952
Dachen,38.2456,115.0218,China,,30951
Tawaramoto,34.5567,135.795,Japan,,30950
Mocimboa da Praia,-11.35,40.3333,Mozambique,,30950
Tarakeswar,22.89,88.02,India,,30947
Minas de Matahambre,22.5822,-83.9492,Cuba,minor,30946
Wanghong Yidui,38.2125,106.225,China,,30943
Badami,15.92,75.6803,India,,30943
Husainabad,24.5285,84,India,,30942
Save,-2.5461,29.7721,Rwanda,,30941
Werl,51.55,7.92,Germany,,30938
Chagne,10.95,36.5,Ethiopia,,30938
Bella Vista,36.4667,-94.2707,United States,,30935
Dedza,-14.3667,34.3333,Malawi,admin,30928
Laguna Hills,33.5918,-117.6991,United States,,30921
Sacele,45.62,25.7097,Romania,,30920
Mlawa,53.1167,20.3667,Poland,minor,30919
Jeremie,18.6339,-74.1184,Haiti,admin,30917
Arsin,40.95,39.9333,Turkey,minor,30911
Salgotarjan,48.0853,19.7867,Hungary,admin,30910
Itatiaia,-22.4914,-44.5592,Brazil,minor,30908
Cicero Dantas,-10.6,-38.3828,Brazil,minor,30907
Canavieiras,-15.675,-38.9472,Brazil,minor,30906
Pichanal,-23.3167,-64.2167,Argentina,,30903
Escuintla,15.3333,-92.6333,Mexico,minor,30896
Lohmar,50.8167,7.2167,Germany,,30894
Springfield,38.781,-77.1839,United States,,30894
Flores da Cunha,-29.0289,-51.1819,Brazil,minor,30892
Okagaki,33.8536,130.6111,Japan,,30891
Walsrode,52.8667,9.5833,Germany,,30890
Kaminokawa,36.4393,139.9099,Japan,,30886
Bairi Chak,24.6951,84.9913,India,,30883
Neuburg,48.7333,11.1833,Germany,minor,30881
Pontefract,53.691,-1.312,United Kingdom,,30881
Champoton,19.35,-90.7167,Mexico,minor,30881
Sao Luis do Quitunde,-9.3178,-35.5608,Brazil,minor,30873
Leh,34.1642,77.5847,India,,30870
Pattanakkad,9.7286,76.3189,India,,30867
Sabirabad,40.0053,48.4719,Azerbaijan,admin,30866
San Antonio Ilotenango,15.0544,-91.2294,Guatemala,minor,30864
Sholinghur,13.1116,79.431,India,,30856
Dharampur,28.6,76.99,India,,30856
Juanacatlan,20.5,-103.1667,Mexico,minor,30855
Carpentras,44.0558,5.0489,France,minor,30854
Bicester,51.9,-1.15,United Kingdom,,30854
Manavadar,21.5,70.13,India,,30850
Palaiya Ayakkudi,10.456,77.5595,India,,30848
Careiro da Varzea,-3.197,-59.8267,Brazil,minor,30846
Vinkovci,45.2833,18.8,Croatia,minor,30842
Kalgoorlie,-30.7489,121.4658,Australia,,30841
Capulhuac,19.2,-99.4667,Mexico,minor,30838
Kostopil,50.8833,26.45,Ukraine,,30838
Ballwin,38.595,-90.55,United States,,30835
Saraykoy,37.9264,28.9267,Turkey,minor,30834
Sanford,35.4875,-79.177,United States,,30833
Nartkala,43.55,43.85,Russia,minor,30832
Ulundi,-28.3167,31.4167,South Africa,,30828
Haywards Heath,51.0048,-0.0979,United Kingdom,,30826
Al Husayniyah,30.8617,31.9181,Egypt,,30825
Chinnalapatti,10.2875,77.912,India,,30823
Ridley,39.8854,-75.328,United States,,30822
Taunusstein,50.1333,8.15,Germany,,30820
Tiruvambadi,11.3608,76.0089,India,,30820
Pattittara,10.8119,76.0915,India,,30819
Arlon,49.6836,5.8167,Belgium,minor,30818
Korinthos,37.9386,22.9272,Greece,minor,30816
Lohagara,22.0112,92.1009,Bangladesh,,30815
Salou,41.077,1.144,Spain,,30810
Vitoria do Mearim,-3.4619,-44.8708,Brazil,minor,30805
Dharmadam,11.7935,75.4709,India,,30804
Ungheni,47.2167,27.8167,Moldova,admin,30804
La Verne,34.1207,-117.7703,United States,,30804
Nalchiti,22.637,90.2719,Bangladesh,,30803
Lavras da Mangabeira,-6.7528,-38.9719,Brazil,minor,30802
Ganassi,7.8269,124.1034,Philippines,,30802
Trekhgornyy,54.8,58.45,Russia,minor,30800
Qo`rg`ontepa,40.7336,72.7583,Uzbekistan,minor,30800
Jonuta,18.0833,-92.1333,Mexico,minor,30798
Careiro,-3.7678,-60.3689,Brazil,minor,30792
Nardo,40.1797,18.0333,Italy,,30790
Escuinapa,22.835,-105.778,Mexico,minor,30790
Wallkill,41.4854,-74.3939,United States,,30790
Rio Blanco,12.9333,-85.2167,Nicaragua,minor,30785
Barao de Cocais,-19.9458,-43.4869,Brazil,minor,30778
Busia,0.4608,34.1108,Kenya,admin,30777
North Chicago,42.3172,-87.8595,United States,,30772
Bad Hersfeld,50.8683,9.7075,Germany,minor,30770
Mahemdavad,22.83,72.77,India,,30769
Pascani,47.2494,26.7272,Romania,,30766
Andingcun,39.6172,116.4944,China,,30764
Tsuruno,40.8087,140.3801,Japan,,30760
Westfield,40.6516,-74.3432,United States,,30760
San Narciso,15.02,120.08,Philippines,,30759
Guaranda,-1.6,-79,Ecuador,admin,30755
Gadarpur,29.0437,79.2465,India,,30753
Ban Sai Ma Tai,13.8642,100.4741,Thailand,,30750
Ulliyeri,11.4333,75.7833,India,,30742
Ferizli,40.9333,30.4833,Turkey,minor,30741
Tekkali,18.6057,84.2355,India,,30740
Chak Five Hundred Seventy-five,31.55,73.8333,Pakistan,,30738
Oakleaf Plantation,30.1689,-81.8337,United States,,30737
Los Altos,37.3684,-122.0965,United States,,30736
Udaypur Gadhi,26.9333,86.5167,Nepal,,30731
Miami Lakes,25.9125,-80.3214,United States,,30731
Einbeck,51.8167,9.8667,Germany,,30725
San Sebastian,14.5667,-91.65,Guatemala,minor,30724
San Isidro,11.42,124.35,Philippines,,30722
Pedana,16.2667,81.1667,India,,30721
Mattathur,10.3792,76.3208,India,,30718
Alem Paraiba,-21.8878,-42.7039,Brazil,minor,30717
Osterholz-Scharmbeck,53.2167,8.8,Germany,minor,30717
Agblangandan,6.3667,2.5167,Benin,,30716
Juatuba,-19.9519,-44.3428,Brazil,minor,30716
Aglipay,16.4889,121.5874,Philippines,,30714
Riacho de Santana,-13.6089,-42.9389,Brazil,minor,30711
Sekiyado,36.0967,139.7803,Japan,,30710
Dois Irmaos,-29.58,-51.085,Brazil,minor,30709
Tekeli,44.83,78.8239,Kazakhstan,minor,30707
Pandua,23.08,88.28,India,,30700
Nova Russas,-4.7,-40.5667,Brazil,minor,30699
Babura,25.6838,84.7825,India,,30695
Vichuga,57.2,41.9167,Russia,minor,30694
Washington,37.1303,-113.4878,United States,,30686
Treviglio,45.5214,9.5928,Italy,,30683
Ciudad Melchor de Mencos,17.0667,-89.15,Guatemala,minor,30682
San Ramon,12.9167,-85.8333,Nicaragua,minor,30682
Czeladz,50.3333,19.0833,Poland,,30681
Becej,45.6167,20.0333,Serbia,admin,30681
Cruz del Eje,-30.7333,-64.8,Argentina,minor,30680
Tepetlaoxtoc,19.5731,-98.8203,Mexico,minor,30680
Banning,33.946,-116.8992,United States,,30680
Bannur,12.3329,76.862,India,,30675
Partinico,38.05,13.1167,Italy,,30674
Campo Alegre de Lourdes,-9.5158,-43.0108,Brazil,minor,30671
Moche,-8.1706,-79.0094,Peru,,30671
Friedberg,48.35,10.9833,Germany,,30670
Balatan,13.3167,123.2333,Philippines,,30669
Presidente Figueiredo,-2.0172,-60.025,Brazil,minor,30668
Gobernador Virasora,-28.05,-56.0333,Argentina,minor,30666
Catole do Rocha,-6.3439,-37.7469,Brazil,minor,30661
Lahij,13.05,44.8833,Yemen,admin,30661
Chuo,35.5996,138.6339,Japan,,30660
West Falls Church,38.8648,-77.1878,United States,,30660
Novovoronezh,51.3167,39.2167,Russia,,30658
Gamu,17.05,121.83,Philippines,,30655
Chengam,12.3112,78.7925,India,,30654
Tabuleiro do Norte,-5.2481,-38.13,Brazil,minor,30652
San Giuliano Terme,43.7625,10.4414,Italy,,30652
Nazare da Mata,-7.7419,-35.2278,Brazil,minor,30648
Salem,42.7902,-71.2202,United States,,30646
Ardesen,41.19,40.9831,Turkey,minor,30645
Juquitiba,-23.9319,-47.0686,Brazil,minor,30642
Luis Correia,-2.8789,-41.6669,Brazil,minor,30641
Yunoshima,35.8059,137.2441,Japan,,30641
Savigny-le-Temple,48.5841,2.5832,France,,30630
Santana do Acarau,-3.4608,-40.2119,Brazil,minor,30628
Lawrenceville,33.9523,-83.9932,United States,,30626
Eldersburg,39.4041,-76.9528,United States,,30626
Victoria,-32.6167,-60.1667,Argentina,minor,30623
Police,53.5333,14.5667,Poland,minor,30623
Mataas Na Kahoy,13.9592,121.1126,Philippines,,30621
Jarinu,-23.1014,-46.7283,Brazil,minor,30617
Valdepenas,38.7617,-3.385,Spain,,30617
Carapo,-22.6339,-54.8219,Brazil,minor,30612
Kaele,10.1,14.45,Cameroon,,30609
Sao Jose da Tapera,-9.5578,-37.3808,Brazil,minor,30604
Keles,41.4033,69.2067,Uzbekistan,,30600
Capim,-1.675,-47.775,Brazil,minor,30599
Taozhuangcun,30.9694,120.8095,China,,30595
Diema,14.5333,-9.2,Mali,minor,30592
Banamba,13.55,-7.45,Mali,minor,30591
Grottaglie,40.5333,17.4333,Italy,,30587
Crevillente,38.2486,-0.8089,Spain,,30585
Correntina,-13.3428,-44.6369,Brazil,minor,30583
Talakkad,10.8833,75.9333,India,,30577
Devarshola,11.5437,76.4404,India,,30576
Birtouta,36.65,3,Algeria,,30575
Ain Kercha,35.9167,6.7,Algeria,,30575
Buey Arriba,20.1736,-76.7494,Cuba,minor,30573
Hafnarfjordhur,64.02,-21.97,Iceland,,30568
Domingos Martins,-20.3628,-40.6589,Brazil,minor,30559
Sarno,40.8167,14.6167,Italy,,30559
Franklin Square,40.7002,-73.6775,United States,,30559
Haan,51.1667,7,Germany,,30558
Spalding,52.7858,-0.1529,United Kingdom,,30556
Illescas,40.1167,-3.8333,Spain,,30553
Ozd,48.2192,20.2869,Hungary,minor,30550
Rendsburg,54.3,9.6667,Germany,minor,30545
Leusden,52.1331,5.4297,Netherlands,minor,30544
Xingang,23.56,120.35,Taiwan,,30543
Sokuluk,42.854,74.3026,Kyrgyzstan,minor,30540
Osmancik,40.9667,34.8,Turkey,minor,30537
Olopa,14.6833,-89.35,Guatemala,minor,30534
Suzak,40.8982,72.9048,Kyrgyzstan,minor,30534
Founougo,11.4808,2.5322,Benin,,30527
Cachan,48.7919,2.3319,France,,30526
Burlingame,37.5859,-122.3667,United States,,30526
Liptovsky Mikulas,49.0811,19.6181,Slovakia,minor,30522
Hayrabolu,41.2131,27.1,Turkey,minor,30521
Gariadhar,21.53,71.58,India,,30520
Anilao,10.9785,122.7531,Philippines,,30520
Ouatagouna,15.1786,0.7239,Mali,,30519
Bongor,10.2806,15.3722,Chad,admin,30518
Aungban,20.6667,96.6333,Burma,,30515
Westville,-29.831,30.925,South Africa,,30508
Farsan,32.255,50.5631,Iran,minor,30504
Ennepetal,51.2833,7.3333,Germany,,30502
Sankaramangalam,8.6561,76.787,India,,30502
Nagawaram,17.4875,78.6012,India,,30502
Igbanke,6.3869,6.1647,Nigeria,,30500
Thung Song,8.154,99.7286,Thailand,minor,30500
Khorugh,37.4833,71.55,Tajikistan,admin,30500
Giannitsa,40.7833,22.4,Greece,minor,30498
Stratford-upon-Avon,52.1928,-1.7064,United Kingdom,,30495
Hellin,38.5167,-1.6833,Spain,,30492
Masho Khel,33.9103,71.5025,Pakistan,,30492
Mainaguri,26.5658,88.8214,India,,30490
Rotterdam,42.8133,-74.0129,United States,,30489
Gurnee,42.3708,-87.9392,United States,,30486
Pamukova,40.5167,30.1667,Turkey,minor,30482
Pau dos Ferros,-6.1108,-38.2089,Brazil,minor,30479
Gubbio,43.3518,12.5773,Italy,,30479
Amir Kola,36.5967,52.6658,Iran,,30478
Torrijos,13.32,122.08,Philippines,,30476
Karuvakulam,9.7605,77.2205,India,,30473
Morrisville,35.8368,-78.8348,United States,,30471
Mukumbura,-16.2,31.6833,Zimbabwe,,30470
Ferry Pass,30.5205,-87.1899,United States,,30467
Santa Barbara,-19.9589,-43.415,Brazil,minor,30466
Vestal,42.0492,-76.026,United States,,30462
Rietberg,51.8,8.4333,Germany,,30461
Yanai,33.9639,132.1186,Japan,,30461
Afonso Claudio,-20.0739,-41.1239,Brazil,minor,30455
Motema,8.6884,-11.1805,Sierra Leone,,30452
Princeton,40.3562,-74.6693,United States,,30451
Ar Ruhaybah,33.7442,36.7039,Syria,minor,30450
Ono,35.9797,136.4875,Japan,,30449
Liberty,39.2394,-94.4191,United States,,30446
Tchindjendje,-12.8167,14.9333,Angola,,30443
Espinosa,-14.9081,-42.8103,Brazil,minor,30443
Ash Shinan,27.1748,42.4449,Saudi Arabia,,30441
Uran,18.89,72.95,India,,30439
Maguing,7.9,124.4,Philippines,,30436
Bandar-e Lengeh,26.5594,54.885,Iran,minor,30435
Mandera,3.9167,41.8333,Kenya,admin,30433
Magdalena de Kino,30.6167,-111.05,Mexico,minor,30429
Redan,33.7394,-84.1644,United States,,30426
Pontal do Parana,-25.5768,-48.3581,Brazil,minor,30425
Parkville,39.3832,-76.5519,United States,,30423
Quillabamba,-12.8681,-72.6931,Peru,,30422
Bala Koh,36.5753,66.8203,Afghanistan,,30419
Myszkow,50.5706,19.3144,Poland,minor,30415
Kailahun,8.2794,-10.5733,Sierra Leone,,30411
Andernach,50.4397,7.4017,Germany,,30408
Karjan,22.053,73.1235,India,,30405
Okotoks,50.725,-113.975,Canada,,30405
Schonebeck,52.0167,11.75,Germany,,30402
Pittsford,43.0733,-77.5268,United States,,30402
Motomiya,37.5132,140.3938,Japan,,30401
Banlung,13.7394,106.9873,Cambodia,admin,30399
Muvattupula,9.9905,76.5789,India,,30397
Salyan,39.5961,48.9847,Azerbaijan,admin,30396
Manawar,22.23,75.08,India,,30393
Avola,36.9167,15.1333,Italy,,30392
Tripoli,37.5167,22.3833,Greece,admin,30383
Samrong,13.6516,100.5922,Thailand,,30382
Amaga,6.05,-75.7,Colombia,minor,30376
Dedovsk,55.85,37.1167,Russia,,30373
Ob,54.9917,82.7125,Russia,,30369
Chamblee,33.8842,-84.3007,United States,,30369
Ondangwa,-17.9167,15.95,Namibia,,30364
Oristano,39.9058,8.5916,Italy,minor,30363
Kuttanallur,10.7069,79.5235,India,,30353
Dhari,21.3261,71.0272,India,,30352
Itarema,-2.92,-39.915,Brazil,minor,30347
Mansa,23.43,72.67,India,,30347
Newark upon Trent,53.0772,-0.8089,United Kingdom,,30345
Nanyo,38.0551,140.1476,Japan,,30343
North Tonawanda,43.0457,-78.8659,United States,,30338
Temascaltepec de Gonzalez,19.0433,-100.0414,Mexico,minor,30336
Saratoga,37.2684,-122.0263,United States,,30335
Zywiec,49.6892,19.2058,Poland,minor,30334
Alma,48.55,-71.65,Canada,,30331
Oulad Barhil,30.6408,-8.475,Morocco,,30330
Rehli,23.63,79.08,India,,30329
Kanzakimachi-kanzaki,33.3119,130.3714,Japan,,30329
Menton,43.775,7.5,France,,30326
Hirakawacho,40.5841,140.5665,Japan,,30326
Fengrenxu,24.1364,115.2836,China,,30324
Huatabampo,27.05,-109.4167,Mexico,minor,30324
Trindade,-7.7619,-40.2678,Brazil,minor,30321
Graneros,-34.0647,-70.7264,Chile,,30320
Abu Suwayr,30.5698,32.1146,Egypt,,30320
Shahpura,25.63,74.93,India,,30320
Sallimedu,11.1147,77.3975,India,,30319
Xinpo,19.6929,110.4869,China,,30318
Kessel-Lo,50.9,4.75,Belgium,,30317
Pothuhera,7.4214,80.3303,Sri Lanka,,30315
Kurunegala,7.4833,80.3667,Sri Lanka,admin,30315
Al 'Attawia,31.8347,-7.3125,Morocco,,30315
Telimele,10.905,-13.043,Guinea,minor,30311
Geliping,26.5986,101.5483,China,,30310
Brownsburg,39.8337,-86.383,United States,,30310
Newark,39.6776,-75.7576,United States,,30309
Segala Mba,14.5585,-10.9617,Mali,,30305
Northolt,51.5467,-0.37,United Kingdom,,30304
Milford,42.1565,-71.5188,United States,,30304
Chimichagua,9.25,-73.8167,Colombia,minor,30303
San Salvador El Seco,19.1333,-97.65,Mexico,,30303
Dolores,16.5142,-89.4158,Guatemala,minor,30302
To`raqo`rg`on,41,71.5158,Uzbekistan,,30300
Koni,9.241,76.8784,India,,30299
Cabrobo,-8.5119,-39.3069,Brazil,minor,30294
Wishaw,55.7742,-3.9183,United Kingdom,,30290
Ris-Orangis,48.6537,2.4161,France,,30283
Bai Chay,20.9658,107.0347,Vietnam,,30280
Chimakurti,15.5149,80.0368,India,,30279
Granger,41.7374,-86.1348,United States,,30279
Vinaroz,40.4686,0.4736,Spain,,30278
Sungurlu,40.161,34.377,Turkey,minor,30275
Ometepec,16.6833,-98.4167,Mexico,minor,30271
Idil,37.341,41.894,Turkey,minor,30271
San Gregorio de Nigua,18.38,-70.08,Dominican Republic,,30268
Benguema,8.3215,-13.0724,Sierra Leone,,30268
Bardejov,49.295,21.2758,Slovakia,minor,30267
Candelaria,15.63,119.93,Philippines,,30263
Niles,42.0278,-87.8099,United States,,30262
Jima Abajo,19.13,-70.38,Dominican Republic,,30261
Majidpur,23.5797,90.7684,Bangladesh,,30257
Caycuma,41.4267,32.0758,Turkey,minor,30255
Jinka,5.7833,36.5667,Ethiopia,,30249
Bir Jdid,33.3737,-8.0002,Morocco,,30247
Pantao-Ragat,8.05,124.15,Philippines,,30247
Zhedao,24.8193,98.2763,China,minor,30246
Harpenden,51.8175,-0.3524,United Kingdom,,30240
Las Nieves,8.74,125.6,Philippines,,30240
Schwandorf,49.3283,12.11,Germany,minor,30239
Falou,14.5967,-7.935,Mali,,30239
Salamina,37.9667,23.5,Greece,minor,30235
Huanta,-12.9397,-74.2475,Peru,,30234
Highland Park,42.1823,-87.8104,United States,,30229
Middletown,41.4459,-74.4236,United States,,30227
Chabet el Ameur,36.6333,3.7,Algeria,,30223
Taramangalam,11.6956,77.9716,India,,30222
Serdobsk,52.4667,44.2,Russia,,30220
Anse-a-Foleur,19.8926,-72.6201,Haiti,,30217
Best,51.5108,5.3922,Netherlands,minor,30216
Austintown,41.0932,-80.7405,United States,,30215
Wik'ro,13.7833,39.6,Ethiopia,,30210
Lewe,19.6333,96.1167,Burma,,30208
Uithoorn,52.2333,4.8333,Netherlands,minor,30206
Anjad,22.0417,75.0552,India,,30204
Qaratau,43.1667,70.45,Kazakhstan,minor,30204
Berriane,32.8333,3.7667,Algeria,,30200
Daheba,28.0258,106.4133,China,,30197
Whitstable,51.361,1.026,United Kingdom,,30195
Balabanovo,55.1833,36.6667,Russia,,30194
Tsuru,35.5515,138.9054,Japan,,30193
Gaggenau,48.8039,8.3194,Germany,,30190
Calintaan,12.5756,120.9428,Philippines,,30190
Malakoff,48.8169,2.2944,France,,30183
Waterloo,50.7175,4.3979,Belgium,,30174
Metamorfosi,38.05,23.75,Greece,minor,30174
Ndora,-2.6033,29.8336,Rwanda,,30171
Djendel,36.2186,2.4089,Algeria,,30170
Kaipram,10.8833,76.1833,India,,30169
Kibiti,-7.7296,38.95,Tanzania,,30163
Claudio,-20.4428,-44.7658,Brazil,minor,30159
Bankass,14.0775,-3.5158,Mali,minor,30159
Yverdon-les-Bains,46.7785,6.6408,Switzerland,minor,30157
Periyanayakkanpalaiyam,11.1544,76.9499,India,,30154
Lewoleba,-8.3833,123.4,Indonesia,minor,30151
Ypacarai,-25.41,-57.28,Paraguay,,30150
Egra,21.9,87.53,India,,30148
Inami,34.75,134.9167,Japan,,30148
Joacaba,-27.1778,-51.505,Brazil,minor,30146
Anse a Pitre,18.0431,-71.7583,Haiti,,30146
Ostuni,40.7322,17.5778,Italy,,30143
Catarroja,39.4028,-0.4044,Spain,,30142
Bretten,49.0364,8.7061,Germany,,30136
Quezaltepeque,14.6333,-89.45,Guatemala,minor,30136
Piagapo,8,124.2,Philippines,,30132
Kanniparamba,11.3611,76.0097,India,,30123
San Giuseppe Vesuviano,40.8333,14.5,Italy,,30120
Candijay,9.818,124.496,Philippines,,30119
Mussoorie,30.45,78.08,India,,30118
Marogong,7.67,124.15,Philippines,,30118
Planadas,3.1964,-75.6444,Colombia,minor,30117
Pulupandan,10.52,122.8,Philippines,,30117
San Miguel,10.78,122.47,Philippines,,30115
Dar Ould Zidouh,32.3167,-6.9,Morocco,,30114
Lievin,50.4228,2.7786,France,,30113
Mucari,-9.4667,16.9167,Angola,,30112
Gukeng,23.65,120.5667,Taiwan,,30105
Persembe,41.0656,37.7714,Turkey,minor,30101
Miramar,-38.2667,-57.8333,Argentina,minor,30100
Sakti,22.03,82.97,India,,30100
Dumalag,11.3039,122.6214,Philippines,,30098
Rury,51.2386,22.5164,Poland,,30093
Gumduru,16.65,78.48,India,,30091
Balete,11.5553,122.3792,Philippines,,30090
Rahimpur,25.4894,86.4774,India,,30089
Postmasburg,-28.3279,23.0706,South Africa,,30089
Marimba,-8.3667,17.0167,Angola,,30086
