City,Lat,Long,country,State
Jhansi,25.458872,78.579943,India,Uttar Pradesh
Jodhpur,26.26841,73.005943,India,Rajasthan
Jorhat,26.757509,94.203055,India,Assam
Kagaznagar,19.331589,79.466051,India,Andhra Pradesh
Kakinada,16.960361,82.238086,India,Andhra Pradesh
Kalyan,19.243703,73.135537,India,Maharashtra
Karimnagar,18.436738,79.13222,India,Telangana
Karnal,29.691971,76.984483,India,Haryana
Karur,10.960277,78.076753,India,Tamil Nadu 
Kavaratti,10.566667,72.616667,India,Lakshadweep
Khammam,17.247672,80.143682,India,Telangana
Khanapur,21.273716,76.117376,India,Maharashtra
Kochi,9.947743,76.253802,India,Kerala
Kohima,25.674673,94.110988,India,Nagaland
Kolar,13.137679,78.129989,India,Karnataka
Kolhapur,16.695633,74.231669,India,Maharashtra
Kolkata ,22.562627,88.363044,India,West Bengal
Kollam,8.881131,76.584694,India,Kerala
Kota,25.182544,75.839065,India,Rajasthan
Krishnanagar,23.405761,88.490733,India,West Bengal
Krishnapuram,12.869617,79.719469,India,Tamil Nadu 
Kumbakonam,10.959789,79.377472,India,Tamil Nadu 
Kurnool,15.828865,78.036021,India,Andhra Pradesh
Latur,18.399487,76.584252,India,Maharashtra
Lucknow,26.839281,80.923133,India,Uttar Pradesh
Ludhiana,30.912042,75.853789,India,Punjab
Machilipatnam,16.187466,81.13888,India,Andhra Pradesh
Madurai,9.917347,78.119622,India,Tamil Nadu 
Mahabubnagar,16.75,78,India,Telangana
Malegaon Camp,20.569974,74.515415,India,Maharashtra
Mangalore,12.865371,74.842432,India,Karnataka
Mathura,27.503501,77.672145,India,Uttar Pradesh
Meerut,28.980018,77.706356,India,Uttar Pradesh
Mirzapur,25.144902,82.565335,India,Uttar Pradesh
Moradabad,28.838931,78.776838,India,Uttar Pradesh
Mumbai,18.987807,72.836447,India,Maharashtra
Muzaffarnagar,29.470914,77.703324,India,Uttar Pradesh
Muzaffarpur,26.122593,85.390553,India,Bihar
Mysore,12.292664,76.638543,India,Karnataka
Nagercoil,8.177313,77.43437,India,Tamil Nadu 
Nalgonda,17.05,79.27,India,Telangana
Nanded,19.160227,77.314971,India,Maharashtra
Nandyal,15.477994,78.483605,India,Andhra Pradesh
Nasik,19.999963,73.776887,India,Maharashtra
Navsari,20.85,72.916667,India,Gujarat
Nellore,14.449918,79.986967,India,Andhra Pradesh
New Delhi,28.6,77.2,India,Delhi
Nizamabad,18.673151,78.10008,India,Telangana
Ongole,15.503565,80.044541,India,Andhra Pradesh
Pali,25.775125,73.320611,India,Rajasthan
Panaji,15.498289,73.824541,India,Goa
Panchkula,30.691512,76.853736,India,Haryana
Panipat,29.387471,76.968246,India,Haryana
Parbhani,19.268553,76.770807,India,Maharashtra
Pathankot,32.274842,75.652865,India,Punjab
Patiala,30.336245,76.392199,India,Punjab
Patna,25.615379,85.101027,India,Bihar
Pilibhit,28.631245,79.804362,India,Uttar Pradesh
Porbandar,21.641346,69.600868,India,Gujarat
Port Blair,11.666667,92.75,India,Andaman and Nicobar Islands
Proddatur,14.7502,78.548129,India,Andhra Pradesh
Puducherry,11.933812,79.829792,India,Puducherry
Pune,18.513271,73.849852,India,Maharashtra
Puri,19.798254,85.824938,India,Odisha
Purnea,25.776703,87.473655,India,Bihar
Raichur,16.205459,77.35567,India,Karnataka
Raipur,21.233333,81.633333,India,Chhattisgarh
Rajahmundry,17.005171,81.777839,India,Andhra Pradesh
Rajapalaiyam,9.451111,77.556121,India,Tamil Nadu 
Rajkot,22.291606,70.793217,India,Gujarat
Ramagundam,18.45,79.28,India,Telangana
Rampura,26.884682,75.789336,India,Rajasthan
Ranchi,23.347768,85.338564,India,Jharkhand
Ratlam,23.330331,75.040315,India,Madhya Pradesh
Raurkela,22.224964,84.864143,India,Odisha
Rohtak,28.894473,76.589166,India,Haryana
Saharanpur,29.967896,77.545221,India,Uttar Pradesh
Saidapur,27.598784,80.75089,India,Uttar Pradesh
Saidpur,34.318174,74.457093,India,Jammu and Kashmir
Salem,11.651165,78.158672,India,Tamil Nadu 
Samlaipadar,21.478072,83.990505,India,Odisha
Sangli,16.856777,74.569196,India,Maharashtra
Saugor,23.838766,78.738738,India,Madhya Pradesh
Shahbazpur,27.874116,79.879327,India,Uttar Pradesh
Shiliguri,26.710035,88.428512,India,West Bengal
Shillong ,25.573987,91.896807,India,Meghalaya
Shimla,31.104423,77.166623,India,Himachal Pradesh
Shimoga,13.932424,75.572555,India,Karnataka
Sikar,27.614778,75.138671,India,Rajasthan
Silchar,24.827327,92.797868,India,Assam
Silvassa,20.273855,72.996728,India,Dadra and Nagar Haveli
Sirsa,29.534893,75.028981,India,Haryana
Sonipat,28.994778,77.019375,India,Haryana
Srinagar,34.085652,74.805553,India,Jammu and Kashmir
Surat,21.195944,72.830232,India,Gujarat
Tezpur,26.633333,92.8,India,Assam
Thanjavur,10.785233,79.139093,India,Tamil Nadu 
Tharati Etawah,26.758236,79.014875,India,Uttar Pradesh
Thiruvananthapuram,8.485498,76.949238,India,Kerala
Tiruchchirappalli,10.815499,78.696513,India,Tamil Nadu 
Tirunelveli,8.725181,77.684519,India,Tamil Nadu 
Tirupati,13.635505,79.419888,India,Andhra Pradesh
Tiruvannamalai,12.230204,79.072954,India,Tamil Nadu 
Tonk,26.168672,75.786111,India,Rajasthan
Tuticorin,8.805038,78.151884,India,Tamil Nadu 
Udaipur,24.57951,73.690508,India,Rajasthan
Ujjain,23.182387,75.776433,India,Madhya Pradesh
Vadodara,22.299405,73.208119,India,Gujarat
Valparai,10.325163,76.955299,India,Tamil Nadu 
Varanasi,25.31774,83.005811,India,Uttar Pradesh
Vellore,12.905769,79.137104,India,Tamil Nadu 
Vishakhapatnam,17.704052,83.297663,India,Andhra Pradesh
Vizianagaram,18.11329,83.397743,India,Andhra Pradesh
Warangal,17.978423,79.600209,India,Telangana
Jorapokhar,23.7,86.41267,India,Jharkhand
Brajrajnagar,21.82,83.92,India,Odisha
Talcher,20.95,85.23,India,Odisha
